marca-id;marca-descr;produto-classe;produto-ean;produto-dun;produto-conservacao;produto-descr
1;Lar;Linguiças;7896419722656;17896419722653;Congelado;Linguiça de Frango Fininha Congelada
1;Lar;Linguiças;7896419728108;17896419728105;Congelado;Linguiça de Frango Fininha Congelada
1;Lar;Linguiças;7896419728092;17896419728099;Resfriado;Linguiça de Frango Fininha Resfriada 700g
1;Lar;Linguiças;7896419722274;17896419722271;Congelado;Linguiça de Frango Grossa Congelada
1;Lar;Linguiças;7896419722663;17896419722660;Congelado;Linguiça de Frango Grossa Congelada
1;Lar;Linguiças;7896419727439;17896419727436;Congelado;Linguiça de Frango Petisco Congelada
1;Lar;Miúdos;7896419729211;17896419729218;Congelado;Fígado
1;Lar;Vegetais;7896419724612;17896419724619;Congelado;Brócolis Congelado
1;Lar;Vegetais;7896419724582;17896419724589;Congelado;Ervilhas Congeladas
1;Lar;Vegetais;7896419724599;17896419724596;Congelado;Ervilhas Congeladas
1;Lar;Vegetais;7896419724537;17896419724534;Congelado;Mix de Vegetais Congelado
1;Lar;Vegetais;7896419724483;17896419724480;Congelado;Seleta de Legumes Congeladas
1;Lar;Vegetais;7896419724490;17896419724497;Congelado;Seleta de Legumes Congeladas
1;Lar;Empanados;7896419714064;17896419714061;Congelado;Tirinhas Empanadas
1;Lar;Cozidos;7896419731160;7896419731167;Congelado;Frango Desfiado
1;Lar;IQF Temperados;7896419730194;17896419730191;Congelado;Coxinha da Asa Temperadas IQF
1;Lar;IQF Temperados;7896419730774;17896419730771;Congelado;Filé de Coxas e Sobrecoxas Temperada IQF
1;Lar;IQF Temperados;7896419730200;17896419730207;Congelado;Frango a Passarinho Temperado IQF
1;Lar;Linguiças;7896419728115;17896419728112;Congelado;Linguiça de Frango Grossa Congelada
1;Lar;Miúdos;7896419729198;178964195729195;Congelado;Coração
1;Lar;Miúdos;7896419729204;17896419729201;Congelado;Moela
1;Lar;Temperados;7896419730224;17896419730221;Congelado;Frango Inteiro Temperado Congelado
1;Lar;Vegetais;7896419720010;17896419720017;Congelado;Brócolis Congelado
1;Lar;Vegetais;7896419720003;17896419720000;Congelado;Couve-Flor Congelado
1;Lar;Temperados;7896419730842;17896419720146;Congelado;Ave Natalina Temperada Recheada Congelada
1;Lar;Empanados;7896419725343;17896419725340;Congelado;Tirinhas Empanadas
1;Lar;Envelopados Congelados;7896419721116;17896419721113;Congelado;Coxas e Sobrecoxas com Porção Dorsal Envelopadas • Congeladas
1;Lar;Envelopados Congelados;7896419723233;17896419723230;Congelado;Coxas e Sobrecoxas sem osso sem pele Envelopadas • Congeladas
1;Lar;IQF Temperados;7896419730187;17896419730184;Congelado;Meio da Asas Temperadas IQF
1;Lar;IQF Temperados;7896419730767;17896419730764;Congelado;Sobrecoxa Temperada IQF
1;Lar;IQF Temperados;7896419730217;17896419730214;Congelado;Filezinho Sassami Temperado IQF
1;Lar;Temperados;7896419729181;17896419729188;Congelado;Coração Temperado
1;Lar;Temperados;7896419728955;17896419728952;Congelado;Coxinhas das Asas Temperadas
1;Lar;Temperados;7896419728948;17896419728945;Congelado;Meio das Asas Temperadas
1;Lar;Temperados;7896419728931;17896419728938;Congelado;Frango a Passarinho Temperado
3;BRF - Sadia;Aves;7891515527617;;Congelado;Hambúrguer de Frango Empanado Sadia 900g -Caixa c/4
4;BRF - Perdigão;Suínos;7891515526511;;Resfriado;Embutido de Pernil Cozido Perdigão Food Service 3,4Kg -Caixa c/2
3;BRF - Sadia;Suínos;7891515525729;;Resfriado;Linguiça Paio Defumada Sadia 370g -Caixa c/24
3;BRF - Sadia;Suínos;7891515524630;;Resfriado;Linguiça Tipo Portuguesa Defumada Sadia 400g -Caixa c/18
3;BRF - Sadia;Aves;7891515522384;;Congelado;Peito de Frango Cozido em Tiras Sadia na Receita 400g -Caixa c/12
3;BRF - Sadia;Aves;7891515522377;;Congelado;Peito de Frango Cozido em Cubos Sadia na Receita 400g -Caixa c/12
3;BRF - Sadia;Aves;7891515522339;;Congelado;Filezinho Sassami Cozido Sadia Na Receita 2kg -Caixa c/5
3;BRF - Sadia;Aves;7891515521400;;Congelado;Peito de Frango em Tiras s/ Pele e Osso Sadia na Receita 400g -Caixa c/12
3;BRF - Sadia;Aves;7891515521394;;Congelado;Peito de Frango em Cubos s/ Pele e Osso Sadia na Receita 400g -Caixa c/12
3;BRF - Sadia;Suínos;7891515521899;;Congelado;Ponta de Costela Suína Sadia Caixa 10kg
3;BRF - Sadia;Suínos;7891515521882;;Congelado;Copa Lombo Suína Sadia Caixa 12kg
3;BRF - Sadia;Suínos;7891515521875;;Congelado;Picanha Suína sem Osso Sadia Caixa 12kg
3;BRF - Sadia;Suínos;7891515521868;;Congelado;Patinho Suino Cong Iwp Pvar Sadia
4;BRF - Perdigão;Suínos;7891515521851;;Congelado;Pernil Suino Cong Iwp Pvar Sadia
3;BRF - Sadia;Suínos;7891515521844;;Congelado;Coxão Mole Suíno sem Osso Sadia Caixa 12Kg -Caixa c/1
3;BRF - Sadia;Suínos;7891515521837;;Congelado;Alcatra Suina Cong Iwp Pvar Sadia
4;BRF - Perdigão;Suínos;7891515521110;;Congelado;Picanha Suína com Alho e Ervas Perdigão Na Brasa Caixa 10Kg
4;BRF - Perdigão;Suínos;7891515521035;;Congelado;Panceta Suína c/ Toque de Limão Perdigão Na Brasa Caixa 12,8kg
4;BRF - Perdigão;Suínos;7891515521028;;Congelado;Costela Suína com Barbecue Perdigão Na Brasa Caixa 9,9kg
3;BRF - Sadia;Suínos;7891515518424;;Resfriado;Linguiça Tipo Calabresa Defumada Sadia 1kg -Caixa c/18
4;BRF - Perdigão;Suínos;7891515518516;;Resfriado;Linguiça Tipo Calabresa Defumada Perdigão 1kg -Caixa c/18
4;BRF - Perdigão;Aves;7891515517786;;Congelado;Tirinhas de Frango Empanadas Perdigão 1kg -Caixa c/3
4;BRF - Perdigão;Aves;7891515517779;;Congelado;Tirinhas de Frango Empanadas Perdigão 300g -Caixa c/15
4;BRF - Perdigão;Suínos;7891515496234;;Congelado;Lasanha Frango com Bacon Perdigão 600g -Caixa c/6
3;BRF - Sadia;Aves;7891515515324;;Congelado;Filezinho Sassami de Frango Sadia Bio 1kg -Caixa c/12
3;BRF - Sadia;Aves;7891515515317;;Congelado;Coxinha da Asa de Frango Drumette Sadia Bio 1kg -Caixa c/12
3;BRF - Sadia;Aves;7891515515348;;Congelado;Filé de Peito de Frango sem Pele sem Osso Sadia Bio 1kg -Caixa c/12
